Time,Duration
2016-06-06 15:24:44.626,102.88
2016-06-06 15:34:00.590,101.3
2016-06-06 15:38:00.572,101.14
2016-06-06 15:10:00.540,99.16
2016-06-06 15:23:00.469,96.55
2016-06-06 15:11:00.525,96.28
2016-06-06 15:28:00.199,79.35
2016-06-06 15:06:15.544,77.5
2016-06-06 15:40:00.259,76.88
2016-06-06 15:43:08.902,73.82
2016-06-06 15:07:00.292,67.91
2016-06-06 15:07:00.368,67.41
2016-06-06 15:04:00.450,67.4
2016-06-06 15:27:31.845,67.27
2016-06-06 15:16:00.418,67.21
2016-06-06 15:44:00.377,66.81
2016-06-06 15:10:00.337,66.73
2016-06-06 15:43:09.953,66.59
2016-06-06 15:04:00.699,66.52
2016-06-06 15:43:08.830,66.14
2016-06-06 15:30:11.870,66.12
2016-06-06 15:22:05.063,65.19
2016-06-06 15:14:13.732,65.07
2016-06-06 15:27:27.885,63.75
2016-06-06 15:27:31.775,63.65
2016-06-06 15:43:09.883,63.37
2016-06-06 15:10:00.266,63.17
2016-06-06 15:44:00.308,62.97
2016-06-06 15:28:00.305,62.85
2016-06-06 15:04:00.552,62.75
2016-06-06 15:20:00.294,62.67
2016-06-06 15:37:00.295,62.62
2016-06-06 15:05:00.351,62.5
2016-06-06 15:32:47.289,62.45
2016-06-06 15:24:00.256,61.99
2016-06-06 15:18:10.229,61.63
2016-06-06 15:17:00.273,61.56
2016-06-06 15:27:00.321,61.32
2016-06-06 15:26:00.273,61.21
2016-06-06 15:22:01.530,61.07
2016-06-06 15:27:00.253,60.98
2016-06-06 15:14:02.984,60.79
2016-06-06 15:14:13.665,60.6
2016-06-06 15:06:00.282,60.43
2016-06-06 15:08:43.416,60.28
2016-06-06 15:33:00.261,60.0
2016-06-06 15:22:01.597,59.75
2016-06-06 15:30:07.416,59.7
2016-06-06 15:03:00.519,59.7
2016-06-06 15:25:00.276,59.63
2016-06-06 15:30:10.848,59.56
2016-06-06 15:27:27.954,59.48
2016-06-06 15:21:00.353,59.3
2016-06-06 15:30:07.329,58.99
2016-06-06 15:15:00.371,58.84
2016-06-06 15:05:00.282,58.82
