Onderwerp	Begindatum	Begintijd	Einddatum	Eindtijd	Beschrijving
"Volver  Pedro Almodóvar  "	26-10-2006	20:00	26-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	27-10-2006	20:00	27-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	28-10-2006	20:00	28-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	29-10-2006	20:00	29-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	30-10-2006	20:00	30-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	31-10-2006	20:00	31-10-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	1-11-2006	20:00	1-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	2-11-2006	20:00	2-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	3-11-2006	20:00	3-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	5-11-2006	20:00	5-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
