ip_address	ms from Sao Paulo	ms from Washington	location
54.230.56.88			
54.230.56.9			
54.230.56.97			
54.230.56.98			
54.230.57.100			
54.230.57.104			
54.230.57.113	23		Sao Paulo
54.230.57.116			
54.230.57.119			
54.230.57.12			
54.230.57.120			
54.230.57.124			
54.230.57.134			
54.230.57.138			
54.230.57.146			
54.230.57.149			
54.230.57.151			
54.230.57.155			
54.230.57.158			
54.230.57.164			
54.230.57.167			
54.230.57.173			
54.230.57.177			
54.230.57.179			
54.230.57.18			
54.230.57.181			
54.230.57.185			
54.230.57.190			
54.230.57.2			
54.230.57.205			
54.230.57.214			
54.230.57.217			
54.230.57.219			
54.230.57.225			
54.230.57.237			
54.230.57.242			
54.230.57.247			
54.230.57.49			
54.230.57.51			
54.230.57.58			
54.230.57.59			
54.230.57.62			
54.230.57.68			
54.230.57.69			
54.230.57.73			
54.230.57.90			
54.230.57.94			
54.230.58.10			
54.230.58.11			
54.230.58.110	23		Sao Paulo
54.230.58.127			
54.230.58.129			
54.230.58.131			
54.230.58.133			
54.230.58.136			
54.230.58.14			
54.230.58.142			
54.230.58.146			
54.230.58.15			
54.230.58.150			
54.230.58.152			
54.230.58.167			
54.230.58.176			
54.230.58.177			
54.230.58.179			
54.230.58.184			
54.230.58.190			
54.230.58.199			
54.230.58.204			
54.230.58.218			
54.230.58.222			
54.230.58.229			
54.230.58.239			
54.230.58.241			
54.230.58.248			
54.230.58.250			
54.230.58.26			
54.230.58.32			
54.230.58.34			
54.230.58.41			
54.230.58.48			
54.230.58.56			
54.230.58.66			
54.230.58.70			
54.230.58.8			
54.230.58.83			
54.230.58.84			
54.230.58.86			
54.230.58.91			
54.230.58.92			
54.230.58.94			
54.230.58.96			
54.230.58.98			
54.230.58.99			
54.230.59.108			
54.230.59.109			
54.230.59.114			
54.230.59.115			
54.230.59.116			
54.230.59.12			
54.230.59.124	22		Sao Paulo
54.230.59.130			
54.230.59.138			
54.230.59.142			
54.230.59.151			
54.230.59.156			
54.230.59.157			
54.230.59.158			
54.230.59.160			
54.230.59.161			
54.230.59.174			
54.230.59.177			
54.230.59.186			
54.230.59.202			
54.230.59.232			
54.230.59.236			
54.230.59.250			
54.230.59.27			
54.230.59.33			
54.230.59.39			
54.230.59.45			
54.230.59.49			
54.230.59.52			
54.230.59.56			
54.230.59.61			
54.230.59.70			
54.230.59.76			
54.230.59.81			
54.230.59.83			
54.230.80.137			
54.230.80.139			
54.230.80.144			
54.230.80.153			timeout
54.230.80.17			
54.230.80.172			
54.230.80.18			
54.230.80.190			
54.230.80.220			
54.230.80.223			
54.230.80.225			
54.230.80.238			
54.230.80.24			
54.230.80.252			
54.230.80.31			
54.230.80.5			
54.230.80.52			
54.230.80.56			
54.230.80.72			
54.230.80.82			
54.230.81.100			
54.230.81.102			
54.230.81.109			
54.230.81.113			
54.230.81.123			
54.230.81.129			
54.230.81.13			
54.230.81.143			
54.230.81.145			timeout
54.230.81.146			
54.230.81.151			
54.230.81.155			
54.230.81.156			
54.230.81.159			
54.230.81.164			
54.230.81.166			
54.230.81.169			
54.230.81.17			
54.230.81.175			
54.230.81.188			
54.230.81.211			
54.230.81.212			
54.230.81.22			
54.230.81.223			
54.230.81.226			
54.230.81.236			
54.230.81.237			
54.230.81.251			
54.230.81.34			
54.230.81.50			
54.230.81.58			
54.230.81.78			
54.230.81.82			
54.230.81.87			
54.230.81.94			
54.230.81.97			
54.230.82.125			
54.230.82.130			
54.230.82.143			
54.230.82.147			
54.230.82.153			timeout
54.230.82.165			
54.230.82.167			
54.230.82.18			
54.230.82.19			
54.230.82.208			
54.230.82.211			
54.230.82.216			
54.230.82.224			
54.230.82.229			
54.230.82.250			
54.230.82.35			
54.230.82.4			
54.230.82.40			
54.230.82.58			
54.230.82.64			
54.230.82.70			
54.230.82.93			
54.230.82.97			
54.230.83.112			
54.230.83.132			
54.230.83.139			
54.230.83.151			
54.230.83.166			
54.230.83.174			timeout
54.230.83.175			
54.230.83.217			
54.230.83.237			
54.230.83.238			
54.230.83.240			
54.230.83.248			
54.230.83.27			
54.230.83.31			
54.230.83.5			
54.230.83.54			
54.230.83.7			
54.230.83.71			
54.230.83.72			
54.230.83.83			
54.230.83.90			
54.230.83.95			
54.230.85.59	212	46	??
54.230.88.12	172	26	30 msec from DC
54.239.142.100			timeout
54.239.142.108			
54.239.142.112			
54.239.142.115			
54.239.142.119			
54.239.142.127			
54.239.142.13			
54.239.142.136			
54.239.142.14			
54.239.142.152			
54.239.142.161			
54.239.142.166			
54.239.142.170			
54.239.142.176			
54.239.142.197			
54.239.142.245			
54.239.142.25			
54.239.142.29			
54.239.142.3			
54.239.142.42			
54.239.142.56			
54.239.142.60			
54.239.142.69			
54.239.142.82			
54.239.142.85			
54.239.142.86			
54.239.142.92			
54.239.142.95			
54.239.142.99			timeout
54.239.152.128		3	Virginia, US
54.239.152.215			
54.239.152.23			
54.239.152.232			
54.239.152.51			
54.239.152.63			
54.240.160.131		3	Virginia, US
54.240.160.142			
54.240.160.143			
54.240.160.149			
54.240.160.155			
54.240.160.162			
54.240.160.197			
54.240.160.45			
54.240.160.99			
54.240.190.116		8	Virginia, US
54.240.190.162			
54.240.190.168			
54.240.190.194			
54.240.190.203			
54.240.190.221			
54.240.190.240			
54.240.190.4			
54.240.190.56			
54.240.190.60			
54.240.190.72			
54.240.190.75			
54.240.190.78			
54.240.190.90			
